,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,tipo_de_registro,indicador,tipo_atualizacao,cnpj,identificador_matriz_filial,razao_social,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nm_cidade_exterior,cod_pais,nm_pais,codigo_natureza_juridica,data_inicio_atividade,cnae_fiscal,descricao_tipo_logradouro,logradouro,numero,complemento,bairro,cep,uf,codigo_municipio,municipio,ddd_telefone_1,ddd_telefone_2,ddd_fax,correio_eletronico,qualificacao_responsavel,capital_social_empresa,porte_empresa,opcao_pelo_simples,data_opcao_pelo_simples,data_exclusao_simples,opcao_pelo_mei,situacao_especial,data_situacao_especial,filler,"fim_registro
",latitude,longitude,endereco,mes_inicio_atividade,ano_inicio_atividade,mes_situacao_cadastral,ano_situacao_cadastral,data,mes_ano_abertura
18,18,18,3120,3120,1,F,,350082001257,2,ASSOCIACAO DOS SERVIDORES DOS MIN DA EDUC E DA CULTURA,ASMEC/MA,2,2005-08-27,0,,,,3999,1987-11-03,9312300,AVENIDA,CASTELO BRANCO,559,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,16,0.0,5,0,,,,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 559  SAO FRANCISCO cep: 65076090 MA ,brasil",11,1987,8,2005,2005-08-01,1987-11-01
19,19,19,3245,3245,1,F,,360305157780,2,CAIXA ECONOMICA FEDERAL,AGENCIA CONCEICAO DOS MULATOS MA,2,2005-11-03,0,,,,2011,1981-12-04,6423900,AVENIDA,CASTELO BRANCO,176,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,16,0.0,5,0,,,,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 176  SAO FRANCISCO cep: 65076090 MA ,brasil",12,1981,11,2005,2005-11-01,1981-12-01
20,20,20,3394,3394,1,F,,377469000225,2,M G PESSOA,CASA DOE CALDOS,8,2001-01-24,1,,,,2135,1995-11-09,5611203,AVENIDA,CASTELO BRANCO,109,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 109  SAO FRANCISCO cep: 65076090 MA ,brasil",11,1995,1,2001,2001-01-01,1995-11-01
21,21,21,3497,3497,1,F,,388369000113,1,DIB JAMIL MALUF & CIA LTDA,POINT VIDEO,8,2006-05-23,1,,,,2062,1995-01-12,7810800,AVENIDA,CASTELO BRANCO,628,B,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 628 B SAO FRANCISCO cep: 65099110 MA ,brasil",1,1995,5,2006,2006-05-01,1995-01-01
22,22,22,3931,3931,1,F,,436379000187,1,MARIA JOSE QUARESMA VALE,LUZ DO DIREITO,8,2008-12-31,71,,,,4014,1995-02-16,6911701,AVENIDA,CASTELO BRANCO,148,SALA 406,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,34,0.0,5,0,,,N,,,,"F
",-,-,"CASTELO BRANCO 148 SALA 406 SAO FRANCISCO cep: 65099110 MA ,brasil",2,1995,12,2008,2008-12-01,1995-02-01
23,23,23,4173,4173,1,F,,465928000141,1,FOTOMANIA COMERCIOE SERVICOS LTDA,FOTOMANIA,2,2005-11-03,0,,,,2062,1995-03-07,4789008,AVENIDA,CASTELO BRANCO,600,A LOJA 02,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,3,6,2015-01-01,2017-12-31,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 600 A LOJA 02 SAO FRANCISCO cep: 65099110 MA ,brasil",3,1995,11,2005,2005-11-01,1995-03-01
24,24,24,4420,4420,1,F,,499677000116,1,J D AQUINO BARBOSA,JODIL COMERCIO E SERVICOS,4,2018-11-06,63,,,,2135,1995-03-23,4789007,AVENIDA,CASTELO BRANCO,605,EDIF  CIDADE DE SAO LUIS  SALA  122                 TERREOTERREO,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,98  32550406,98  98125716,98  99918194,JODIL@ELO.COM.BR,50,0.0,1,6,2007-07-01,2008-12-31,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 EDIF  CIDADE DE SAO LUIS  SALA  122                 TERREOTERREO SAO FRANCISCO cep: 65076090 MA ,brasil",3,1995,11,2018,2018-11-01,1995-03-01
25,25,25,4635,4635,1,F,,527631000163,1,ACESSO LTDA,,8,2015-02-09,73,,,,2062,1995-04-05,9521500,AVENIDA,CASTELO BRANCO,148,SALA 411-A,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 148 SALA 411-A SAO FRANCISCO cep: 65076090 MA ,brasil",4,1995,2,2015,2015-02-01,1995-04-01
26,26,26,5030,5030,1,F,,585132000122,1,PAULO RAFAEL VARGAS,PANETONE,8,2004-12-30,1,,,,2135,1995-05-04,4729699,RUA,CASTELO BRANCO,148,COM CASTELO BRANCO,SAO FRANCISCO,65025230.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 148 COM CASTELO BRANCO SAO FRANCISCO cep: 65025230 MA ,brasil",5,1995,12,2004,2004-12-01,1995-05-01
27,27,27,5218,5218,1,F,,611090000157,1,CANTINA ALLA TAVOLA LTDA,CANTINA ALLA TAVOLA,4,2018-11-06,63,,,,2062,1995-05-19,5611203,AVENIDA,CASTELO BRANCO,681,,SAO FRANCISCO,65076000.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 681  SAO FRANCISCO cep: 65076000 MA ,brasil",5,1995,11,2018,2018-11-01,1995-05-01
28,28,28,5221,5221,1,F,,612656000165,1,IGREJA DE CRISTO EM SAO FRANCISCO,,8,2008-12-31,71,,,,3999,1995-05-12,9491000,AVENIDA,CASTELO BRANCO,707,ED ENEIDA SALA 202,SAO FRANCISCO,65076000.0,MA,921,SAO LUIS,,,,,16,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 707 ED ENEIDA SALA 202 SAO FRANCISCO cep: 65076000 MA ,brasil",5,1995,12,2008,2008-12-01,1995-05-01
29,29,29,5409,5409,1,F,,634572000122,1,MICROART LTDA,,8,1995-06-06,1,,,,2062,1995-06-06,4789007,AVENIDA,CASTELO BRANCO,605,SALA 221,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 221 SAO FRANCISCO cep: 65099110 MA ,brasil",6,1995,6,1995,1995-06-01,1995-06-01
30,30,30,5921,5921,1,F,,693277000147,1,CENTRO DA CONSTRUCAO LTDA,,8,2018-05-17,1,,,,2062,1995-07-06,4789099,AVENIDA,CASTELO BRANCO,740,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,49,100000.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 740  SAO FRANCISCO cep: 65076090 MA ,brasil",7,1995,5,2018,2018-05-01,1995-07-01
31,31,31,5964,5964,1,F,,701338000170,1,S C M DO LAGO,SHEILA LAGO REPRESENTACOES E COMERCIO,8,2016-09-16,1,,,,2135,1995-07-17,8130300,AVENIDA,CASTELO BRANCO,148,SALA 203,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 148 SALA 203 SAO FRANCISCO cep: 65099110 MA ,brasil",7,1995,9,2016,2016-09-01,1995-07-01
32,32,32,6638,6638,1,F,,784899000180,1,M FIQUENE FILHO,BATATA EXPRESSA,8,2008-12-31,71,,,,2135,1995-08-30,5611203,AVENIDA,CASTELO BRANCO,95,,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 95  SAO FRANCISCO cep: 65099110 MA ,brasil",8,1995,12,2008,2008-12-01,1995-08-01
33,33,33,6690,6690,1,F,,801188000177,1,S DA S CUTRIM,NEW AGE CONFECCOES,4,2018-11-06,63,,,,2135,1995-09-11,4781400,AVENIDA,CASTELO BRANCO,698,A,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 698 A SAO FRANCISCO cep: 65099110 MA ,brasil",9,1995,11,2018,2018-11-01,1995-09-01
34,34,34,6741,6741,1,F,,806449000141,1,SOARES CENTERCONSTRUCOES LTDA,,8,2016-07-20,1,,,,2062,1995-09-05,4744001,AVENIDA,CASTELO BRANCO,401 A,TERREO,SAO FRANCISCO,65070090.0,MA,921,SAO LUIS,,,,,49,30000.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 401 A TERREO SAO FRANCISCO cep: 65070090 MA ,brasil",9,1995,7,2016,2016-07-01,1995-09-01
35,35,35,6742,6742,1,F,,806451000110,1,MARATHON SPORTS DO BRASIL LTDA,,8,2008-12-31,71,,,,2062,1995-09-05,4618499,AVENIDA,CASTELO BRANCO,605,S315 ED CID S LUIS,SAO FRANCISCO,65075900.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 S315 ED CID S LUIS SAO FRANCISCO cep: 65075900 MA ,brasil",9,1995,12,2008,2008-12-01,1995-09-01
36,36,36,6903,6903,1,F,,827900000107,1,S M PINTO GURGEL ROCHA,SANDWIX SELF SERVICE,8,1996-08-16,1,,,,2135,1995-09-25,5611203,AVENIDA,CASTELO BRANCO,92,L 22 JUNIOR CENTER,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 92 L 22 JUNIOR CENTER SAO FRANCISCO cep: 65099110 MA ,brasil",9,1995,8,1996,1996-08-01,1995-09-01
37,37,37,6999,6999,1,F,,842449000105,1,M CRISTINA DA SILVA SOARES,ODONT-GOOD,8,2008-12-31,71,,,,2135,1995-09-29,6550200,AVENIDA,CASTELO BRANCO,559,SALA 203,SAO FRANCISCO,65076790.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 559 SALA 203 SAO FRANCISCO cep: 65076790 MA ,brasil",9,1995,12,2008,2008-12-01,1995-09-01
38,38,38,7293,7293,1,F,,882666000110,1,M DE J MELO,SYSWARE 9000,8,2015-02-09,73,,,,2135,1995-10-20,4751201,AVENIDA,CASTELO BRANCO,559,SALA 206,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,98  99883001,,,MANOEL@MELO.COM.BR,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 559 SALA 206 SAO FRANCISCO cep: 65076090 MA ,brasil",10,1995,2,2015,2015-02-01,1995-10-01
39,39,39,7524,7524,1,F,,903569000167,1,DEKOLLAR VIAGENS & TURISMO LTDA,DEKOLLAR,4,2018-11-06,63,,,,2062,1995-11-09,7911200,AVENIDA,CASTELO BRANCO,333,SALA: 206 2  ANDAR; : ED COML SAO FRANCISC;,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,98  33126623,98  32353647,98  32353647,DEKOLLARTURISMO@YMAIL.COM,49,60000.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 333 SALA: 206 2  ANDAR; : ED COML SAO FRANCISC; SAO FRANCISCO cep: 65076090 MA ,brasil",11,1995,11,2018,2018-11-01,1995-11-01
40,40,40,7525,7525,1,F,,903570000191,1,L P DA SILVA - SERVICOS,PROTABIL-SERVICOS,4,2018-11-06,63,,,,4014,1995-11-09,6920602,AVENIDA,CASTELO BRANCO,605,SALA 322,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,34,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 322 SAO FRANCISCO cep: 65099110 MA ,brasil",11,1995,11,2018,2018-11-01,1995-11-01
41,41,41,7565,7565,1,F,,913610000186,1,TECNOFONE TELECOMUNICACOES E INFORMATICA LTDA,TECNOFONE,8,2008-12-31,71,,,,2062,1995-11-10,6209100,AVENIDA,CASTELO BRANCO,605,SALA 119,SAO FRANCISCO,65075090.0,MA,921,SAO LUIS,,,,,49,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 119 SAO FRANCISCO cep: 65075090 MA ,brasil",11,1995,12,2008,2008-12-01,1995-11-01
42,42,42,7576,7576,1,F,,913793000130,1,R P PEREIRA,FERRACO CONSTRUCOES,2,2004-12-24,0,,,,2135,1995-11-13,4619200,AVENIDA,CASTELO BRANCO,3,LOJA  FRENTE R RIB AMARAL,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,98  88890537,,,REP.MAPEREIRA@HOTMAIL.COM,50,240000.0,1,5,2019-01-01,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 3 LOJA  FRENTE R RIB AMARAL SAO FRANCISCO cep: 65076090 MA ,brasil",11,1995,12,2004,2004-12-01,1995-11-01
43,43,43,7859,7859,1,F,,951823000100,1,J R P SOUSA FILHO,IPS INFORMATICA PRODUTOS E SERVICOS,8,2008-12-31,71,,,,2135,1995-12-06,4789007,AVENIDA,CASTELO BRANCO,36,LOJA 2,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 36 LOJA 2 SAO FRANCISCO cep: 65076090 MA ,brasil",12,1995,12,2008,2008-12-01,1995-12-01
44,44,44,8268,8268,1,F,,1007372000102,1,OISINA D PIORSKI REGO,RESTAURANTE SABOR DA ILHA,8,2015-02-09,73,,,,2135,1996-01-18,5611201,AVENIDA,CASTELO BRANCO,811,,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 811  SAO FRANCISCO cep: 65076090 MA ,brasil",1,1996,2,2015,2015-02-01,1996-01-01
45,45,45,8422,8422,1,F,,1021458000190,1,J D C VIEIRA SERVICOS COMERCIO E REPRESENTACAO,BRASIL REPRESENTACAO,8,2008-12-31,71,,,,2135,1996-01-29,4619200,AVENIDA,CASTELO BRANCO,587,D,SAO FRANCISCO,65076090.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 587 D SAO FRANCISCO cep: 65076090 MA ,brasil",1,1996,12,2008,2008-12-01,1996-01-01
46,46,46,8709,8709,1,F,,1059904000155,1,UBIRATAN COELHO DA SILVA,ALCANTARA DISTRIBUIDORA,4,2018-11-06,63,,,,2135,1996-02-22,4618499,AVENIDA,CASTELO BRANCO,605,SALA 312,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 605 SALA 312 SAO FRANCISCO cep: 65099110 MA ,brasil",2,1996,11,2018,2018-11-01,1996-02-01
47,47,47,8757,8757,1,F,,1074720000164,1,M BRANDAO DE ARAUJO,BRATEL,8,1996-02-26,9,,,,2135,1996-02-26,4789007,AVENIDA,CASTELO BRANCO,753,SALA 205,SAO FRANCISCO,65099110.0,MA,921,SAO LUIS,,,,,50,0.0,5,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 753 SALA 205 SAO FRANCISCO cep: 65099110 MA ,brasil",2,1996,2,1996,1996-02-01,1996-02-01
48,48,48,8775,8775,1,F,,1074821000135,1,ARMARINHO PONTO DE CRUZ LTDA,,8,2008-12-31,71,,,,2062,1996-01-03,4755502,AVENIDA,CASTELO BRANCO,354,B,SAO FRANCISCO,65076360.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 354 B SAO FRANCISCO cep: 65076360 MA ,brasil",1,1996,12,2008,2008-12-01,1996-01-01
49,49,49,8798,8798,1,F,,1076776000158,1,ARCO IRIS PERFUME DE MULHER LTDA,PERFUME DE MULHER,4,2018-11-06,63,,,,2062,1996-03-05,4771701,AVENIDA,CASTELO BRANCO,92,LOJAS 9 E 10,SAO FRANCISCO,65076091.0,MA,921,SAO LUIS,,,,,49,0.0,1,0,,,N,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 92 LOJAS 9 E 10 SAO FRANCISCO cep: 65076091 MA ,brasil",3,1996,11,2018,2018-11-01,1996-03-01
50,50,50,9088,9088,1,F,,1115194001881,2,DIAGONAL EMPREENDIMENTOS E GESTAO DE NEGOCIOS LTDA,DIAGONAL,8,2012-06-25,1,,,,2062,2010-10-21,7020400,AVENIDA,CASTELO BRANCO,559,"LETRA: A, SALA 205-ED.TOKIO;",SAO FRANCISCO,65076091.0,MA,921,SAO LUIS,11  32921500,,11  32921500,RECEBIMENTO@DIAGONAL.NET,49,0.0,5,0,,,,,,,"F
",-2.5090395,-44.3031077,"CASTELO BRANCO 559 LETRA: A, SALA 205-ED.TOKIO; SAO FRANCISCO cep: 65076091 MA ,brasil",10,2010,6,2012,2012-06-01,2010-10-01
